period_type,period,period_label,n_students,series_id,series_label,series_group,score,mean_difficulty,terms
week,13,Week 13,1,pooled_adjusted,Pooled D,vbm,.4161654710769653,10.5,D
week,14,Week 14,1,pooled_adjusted,Pooled D,vbm,.8339229226112366,11,D
week,15,Week 15,1,pooled_adjusted,Pooled D,vbm,.6762616038322449,13.6,D
week,18,Week 18,3,pooled_adjusted,Pooled D,vbm,.5819447040557861,5,D
week,23,Week 23,6,pooled_adjusted,Pooled D,vbm,.6653358936309814,6.700000000000002,D
week,24,Week 24,1,pooled_adjusted,Pooled D,vbm,.5145422220230103,6.7,D
week,25,Week 25,10,pooled_adjusted,Pooled D,vbm,.5411521196365356,9.091764705882355,D
week,26,Week 26,3,pooled_adjusted,Pooled D,vbm,.5713640451431274,9.552790346907992,D
week,1,Week 1,14,three_leg_adjusted,V/BK/M,vbm,.5104507207870483,9.021428571428574,V+B+M
week,2,Week 2,1,three_leg_adjusted,V/BK/M,vbm,.3371437191963196,6.700000000000001,V+B+M
week,5,Week 5,1,three_leg_adjusted,V/BK/M,vbm,.6655468344688416,9.5,V+B+M
week,6,Week 6,5,three_leg_adjusted,V/BK/M,vbm,.5798662304878235,8.940000000000001,V+B+M
week,8,Week 8,2,three_leg_adjusted,V/BK/M,vbm,.8536548614501953,9.71764705882353,V+B+M
week,13,Week 13,1,three_leg_adjusted,V/BK/M,vbm,.9579355120658875,10.5,V+B+M
week,14,Week 14,1,three_leg_adjusted,V/BK/M,vbm,.7760748267173767,11,V+B+M
week,15,Week 15,1,three_leg_adjusted,V/BK/M,vbm,.742574155330658,13.6,V+B+M
week,18,Week 18,3,three_leg_adjusted,V/BK/M,vbm,.3697168827056885,5,V+B+M
week,23,Week 23,6,three_leg_adjusted,V/BK/M,vbm,.5712707042694092,6.700000000000002,V+B+M
week,24,Week 24,1,three_leg_adjusted,V/BK/M,vbm,.420477032661438,6.7,V+B+M
week,25,Week 25,10,three_leg_adjusted,V/BK/M,vbm,.8472891449928284,9.091764705882353,V+B+M
